pref_code,lg_code,metropolitan_area,city_area,pref_capital,city_type,pref_name,lg_name,total_pop,pop_2010,pop_increase_2010-2015,pop_increase_rate_2010-2015,area,pop_density,age_avg,age_mid,pop_sum,pop_u15,pop_15-64,pop_o65,pop_u15_ratio,pop_15-64_ratio,pop_o65_ratio,pop_sum_m,pop_u15_m,pop_15-64_m,pop_o65_m,pop_u15_ratio_m,pop_15-64_ratio_m,pop_o65_ratio_m,pop_sum_f,pop_u15_f,pop_15-64_f,pop_o65_f,pop_u15_ratio_f,pop_15-64_ratio_f,pop_o65_ratio_f,gender_ratio,japanese,foreigner,household_sum,household_general,household_facility,household_sum_2010,household_nuclear,household_spouses_only,household_parents_children,household_father_children,household_mother_children,household_single,household_single_o65,household_spouses_senior,household_three-generations
0,0,,,,4,ëSçë,ëSçë,127094745,128057352,-962607,-0.8,377971,341,46.4,46.7,127094745,15886810,76288736,33465441,12.6,60.7,26.6,61841738,8133536,38394322,14485469,13.3,62.9,23.7,65253007,7753274,37894414,18979972,12,58.6,29.4,94.8,124283901,1752368,53448685,53331797,116888,51950504,29754438,10718259,14288203,702903,4045073,18417922,5927686,6079126,3023024
1,1000,,,,4,ñkäCìπ,ñkäCìπ,5381733,5506419,-124686,-2.3,83424,69,48.3,49.7,5381733,608296,3190804,1558387,11.4,59.6,29.1,2537089,310387,1561879,651286,12.3,61.9,25.8,2844644,297909,1628925,907101,10.5,57.5,32,89.2,5348768,21676,2444810,2438206,6604,2424317,1363818,583361,553149,29518,197790,909106,319408,327509,78387
1,1100,éDñy,,1,1,ñkäCìπ,éDñyés,1952356,1913545,38811,2,1121,1741,46.2,46.4,1952356,221013,1235516,483534,11.4,63.7,24.9,910614,112743,590111,201313,12.5,65.3,22.3,1041742,108270,645405,282221,10.5,62.3,27.2,87.4,1937785,8820,921837,920415,1422,885848,493644,194424,213793,10049,75378,375242,104650,98660,20124
1,1101,,,,0,ñkäCìπ,éDñyés íÜâõãÊ,237627,220189,17438,7.9,46,5119,45,44.2,237627,23997,160339,50536,10.2,68.3,21.5,107756,12187,74227,19750,11.5,69.9,18.6,129871,11810,86112,30786,9.2,66.9,23.9,83,235280,1891,132006,131819,187,120741,52695,22332,21118,878,8367,73164,14403,9542,1221
1,1102,,,,0,ñkäCìπ,éDñyés ñkãÊ,285321,278781,6540,2.3,64,4488,45.6,45.8,285321,32916,178950,68960,11.7,63.7,24.6,134534,16722,86767,28866,12.6,65.6,21.8,150787,16194,92183,40094,10.9,62.1,27,89.2,281851,2023,133662,133477,185,127440,70121,26738,31744,1414,10225,55247,14688,14221,3164
1,1103,,,,0,ñkäCìπ,éDñyés ìåãÊ,261912,255873,6039,2.4,57,4597,45.3,45,261912,30716,168302,61448,11.8,64.6,23.6,124649,15594,82491,25708,12.6,66.6,20.8,137263,15122,85811,35740,11.1,62.8,26.2,90.8,259619,1121,124425,124251,174,118939,65606,24770,28880,1401,10555,51879,14050,12156,2504
1,1104,,,,0,ñkäCìπ,éDñyés îíêŒãÊ,209584,204259,5325,2.6,34,6080,45.3,44.8,209584,23590,136879,47879,11.3,65.7,23,99020,12099,66499,19954,12.3,67.5,20.2,110564,11491,70380,27925,10.5,64.1,25.4,89.6,207888,595,104608,104464,144,100444,51433,19992,21661,1232,8548,47852,11906,8994,1920
1,1105,,,,0,ñkäCìπ,éDñyés ñLïΩãÊ,218652,212118,6534,3.1,46,4730,45.5,44.9,218652,23865,142751,51458,10.9,65.5,23.6,101482,12214,67849,21014,12.1,67.1,20.8,117170,11651,74902,30444,10,64,26,86.6,217089,1120,110171,110023,148,107179,54133,21681,22651,1139,8662,50040,12419,10165,1851
1,1106,,,,0,ñkäCìπ,éDñyés ìÏãÊ,141190,146341,-5151,-3.5,657,215,49.8,52.8,141190,14271,81598,44854,10.1,58,31.9,65305,7317,38809,18943,11.2,59.6,29.1,75885,6954,42789,25911,9.2,56.6,34.2,86.1,140507,437,61291,61145,146,62776,37667,15969,15483,819,5396,19698,8722,9617,1853
1,1107,,,,0,ñkäCìπ,éDñyés êºãÊ,213578,211229,2349,1.1,75,2844,46.8,47.2,213578,24842,133411,54865,11.7,62.6,25.7,98648,12630,62921,22823,12.8,64,23.2,114930,12212,70490,32042,10.6,61.4,27.9,85.8,212670,566,97750,97585,165,96421,56438,22448,24189,1096,8705,35275,11536,11312,2403
1,1108,,,,0,ñkäCìπ,éDñyés å˙ï ãÊ,127767,128492,-725,-0.6,24,5241,48.1,50.1,127767,13990,77888,35713,11,61,28,58312,7178,36054,15008,12.3,61.9,25.8,69455,6812,41834,20705,9.8,60.3,29.9,84,127344,408,55585,55498,87,54099,35886,14348,15197,673,5668,16711,6802,8005,1426
1,1109,,,,0,ñkäCìπ,éDñyés éËàÓãÊ,140999,139644,1355,1,57,2484,47.3,48.8,140999,17367,84637,38561,12.4,60.2,27.4,66284,8889,40662,16474,13.5,61.6,25,74715,8478,43975,22087,11.4,59,29.6,88.7,140298,259,57333,57238,95,55050,37965,14512,17402,757,5294,15186,5867,8199,2165
1,1110,,,,0,ñkäCìπ,éDñyés ê¥ìcãÊ,115726,116619,-893,-0.8,60,1933,46.4,48.1,115726,15459,70761,29260,13.4,61.3,25.3,54624,7913,33832,12773,14.5,62.1,23.4,61102,7546,36929,16487,12.4,60.6,27,89.4,115239,400,45006,44915,91,42759,31700,11634,15468,640,3958,10190,4257,6449,1617
1,1202,,,,2,ñkäCìπ,îüäŸés,265979,279127,-13148,-4.7,678,392,50.1,52.7,265979,27131,152154,85931,10.2,57.4,32.4,120376,13912,72223,33839,11.6,60.2,28.2,145603,13219,79931,52092,9.1,55,35.9,82.7,264537,771,123950,123651,299,126180,66690,28514,24671,1447,12058,48247,20148,16258,4240
1,1203,éDñy,,,2,ñkäCìπ,è¨íMés,121924,131928,-10004,-7.6,244,500,52.4,56.5,121924,11171,65317,45240,9.2,53.7,37.2,54985,5661,31183,18020,10.3,56.8,32.8,66939,5510,34134,27220,8.2,51,40.7,82.1,121415,411,55466,55299,167,57711,31709,13894,11516,787,5512,19911,10585,8950,1825
1,1204,,,,2,ñkäCìπ,àÆêÏés,339605,347095,-7490,-2.2,748,454,49.6,51.9,339605,37173,191423,106444,11.1,57.1,31.8,156402,18938,90649,44410,12.3,58.9,28.8,183203,18235,100774,62034,10.1,55.7,34.3,85.4,335678,613,155747,155218,529,154393,88393,39057,34414,1697,13225,57488,22400,23059,4315
1,1205,,,,2,ñkäCìπ,é∫óñés,88564,94535,-5971,-6.3,81,1095,49.9,52.5,88564,9185,49005,30118,10.4,55.5,34.1,43143,4647,25831,12457,10.8,60.2,29,45421,4538,23174,17661,10,51.1,38.9,95,88203,297,43616,43536,80,45029,23014,10793,8448,477,3296,18486,7295,6773,898
1,1206,,,,2,ñkäCìπ,ã˙òHés,174742,181169,-6427,-3.5,1363,128,49.1,51.4,174742,19400,101909,52867,11.1,58.5,30.4,82185,9829,49888,22161,12,60.9,27.1,92557,9571,52021,30706,10.4,56.4,33.3,88.8,174120,440,82078,81846,232,81015,45098,19896,16943,1105,7154,31697,11926,11305,2339
1,1207,,,,2,ñkäCìπ,ë—çLés,169327,168057,1270,0.8,619,273,46.7,47.6,169327,20566,103890,44636,12.2,61.4,26.4,80994,10589,51271,18963,13.1,63.4,23.5,88333,9977,52619,25673,11.3,59.6,29.1,91.7,168800,524,77707,77525,182,75474,42823,18062,17442,975,6344,29720,8907,9615,2359
1,1208,,,,2,ñkäCìπ,ñkå©és,121226,125689,-4463,-3.6,1427,85,48.9,50.9,121226,13570,70781,36437,11.2,58.6,30.2,58020,6897,35523,15291,12,61.6,26.5,63206,6673,35258,21146,10.6,55.9,33.5,91.8,120936,283,56202,56043,159,56012,31420,14234,12134,639,4413,21103,7328,8072,1716
1,1209,,,,2,ñkäCìπ,ó[í£és,8843,10922,-2079,-19,763,12,59.3,64.4,8843,500,4045,4296,5.7,45.8,48.6,4092,241,2090,1759,5.9,51.1,43,4751,259,1955,2537,5.5,41.1,53.4,86.1,8755,88,4539,4526,13,5558,2256,1299,575,57,325,1984,1178,922,121
1,1210,éDñy,,,2,ñkäCìπ,ä‚å©ëÚés,84499,90145,-5646,-6.3,481,176,50.2,53.3,84499,8983,47848,27503,10.7,56.7,32.6,39319,4597,23127,11509,11.7,58.9,29.3,45180,4386,24721,15994,9.7,54.8,35.5,87,84215,96,36155,36060,95,36723,21610,9418,8456,517,3219,11431,5234,5712,1736
1,1211,,,,2,ñkäCìπ,ñ‘ëñés,39077,40998,-1921,-4.7,471,83,47.2,48.3,39077,4571,23698,10691,11.7,60.8,27.4,19819,2358,12794,4578,12,64.8,23.2,19258,2213,10904,6113,11.5,56.7,31.8,102.9,38807,188,18035,17984,51,18112,9153,4147,3583,182,1241,7571,2169,2316,675
1,1212,,,,2,ñkäCìπ,óØñGés,22221,24457,-2236,-9.1,298,75,51.1,54.2,22221,2290,12391,7513,10.3,55.8,33.9,10516,1137,6298,3069,10.8,60,29.2,11705,1153,6093,4444,9.9,52.1,38,89.8,22106,99,10402,10358,44,11044,5774,2895,1990,120,769,3877,1619,1655,334
1,1213,,,,2,ñkäCìπ,ìœè¨ñqés,172737,173320,-583,-0.3,562,308,46.3,47,172737,22401,105217,44469,13,61.1,25.8,84605,11469,53472,19164,13.6,63.6,22.8,88132,10932,51745,25305,12.4,58.8,28.8,96,172161,405,78298,78145,153,76289,45158,18848,19157,1042,6111,28681,9201,9876,1971
1,1214,,,,2,ñkäCìπ,ítì‡és,36380,39595,-3215,-8.1,761,48,48.5,50.5,36380,4304,21570,10505,11.8,59.3,28.9,17809,2218,11172,4419,12.5,62.7,24.8,18571,2086,10398,6086,11.2,56,32.8,95.9,36082,298,16486,16445,41,17343,9191,4078,3635,230,1248,5972,2084,2227,665
1,1215,éDñy,,,2,ñkäCìπ,î¸âSés,23035,26034,-2999,-11.5,278,83,53.5,57.8,23035,1973,12205,8853,8.6,53,38.4,10753,1039,6074,3638,9.7,56.5,33.8,12282,934,6131,5215,7.6,49.9,42.5,87.6,23000,33,10173,10098,75,10992,5620,2668,1924,155,873,3567,1992,1771,481
